               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.028709,           0.0069703,          0.00083967,              0.9247,                   1,             0.99093,             0.78314,            0.017031,           0.0058705,          0.00063928,            0.006403,            0.006403,            0.006403
                 111,            0.029796,           0.0070692,          0.00068084,             0.94123,                   1,             0.99228,             0.79181,            0.015479,           0.0055132,            0.000595,             0.00637,             0.00637,             0.00637
                 112,            0.027934,           0.0074884,          0.00066499,              0.9589,                   1,             0.99375,             0.77425,            0.016581,           0.0054464,          0.00058282,            0.006337,            0.006337,            0.006337
                 113,            0.028895,           0.0071174,          0.00057357,                   1,             0.94934,             0.99311,             0.78348,            0.016364,           0.0054613,          0.00044812,            0.006304,            0.006304,            0.006304
                 114,            0.029124,           0.0072382,           0.0005167,             0.96616,             0.97158,               0.995,             0.75057,            0.016968,           0.0058198,          0.00045513,            0.006271,            0.006271,            0.006271
                 115,            0.032033,           0.0071191,          0.00053969,             0.98658,             0.98485,             0.99456,               0.743,            0.017283,           0.0057236,          0.00040895,            0.006238,            0.006238,            0.006238
                 116,            0.030771,           0.0071878,          0.00055085,             0.90411,                   1,             0.98369,             0.72062,            0.018281,           0.0061388,          0.00047595,            0.006205,            0.006205,            0.006205
                 117,            0.029399,           0.0071604,          0.00057362,             0.95789,             0.95948,             0.99243,             0.72748,            0.017939,           0.0058063,          0.00057751,            0.006172,            0.006172,            0.006172
                 118,             0.02838,           0.0076408,          0.00058653,              0.9852,             0.96296,             0.99259,             0.77019,            0.015245,            0.005128,          0.00052481,            0.006139,            0.006139,            0.006139
                 119,            0.029748,           0.0071756,          0.00066928,             0.93865,             0.99353,             0.99093,             0.75558,            0.016263,           0.0056036,            0.000512,            0.006106,            0.006106,            0.006106
                 120,             0.02887,           0.0067932,          0.00058474,             0.97378,                   1,               0.995,             0.75156,            0.016253,           0.0053568,          0.00045877,            0.006073,            0.006073,            0.006073
                 121,            0.028883,           0.0067835,          0.00063038,             0.93781,                   1,               0.995,              0.7861,            0.016179,           0.0056216,          0.00050728,             0.00604,             0.00604,             0.00604
                 122,            0.026385,            0.006858,          0.00065494,             0.95793,             0.98982,             0.99456,             0.80057,            0.014628,           0.0057708,          0.00047084,            0.006007,            0.006007,            0.006007
                 123,            0.029387,           0.0077111,           0.0011762,             0.90653,             0.99119,             0.98754,              0.7571,            0.015941,           0.0061318,          0.00041299,            0.005974,            0.005974,            0.005974
                 124,            0.027566,           0.0068887,          0.00058353,              0.9615,             0.98148,             0.99193,              0.7745,             0.01567,           0.0057446,          0.00046493,            0.005941,            0.005941,            0.005941
                 125,            0.029551,           0.0074084,          0.00053599,              0.9678,             0.94118,             0.99109,             0.74874,             0.01556,           0.0056319,          0.00045473,            0.005908,            0.005908,            0.005908
                 126,            0.027704,           0.0067483,          0.00061466,              0.9472,             0.95611,             0.98079,             0.76442,            0.015594,           0.0056295,          0.00044718,            0.005875,            0.005875,            0.005875
                 127,            0.030063,           0.0067669,          0.00057184,             0.91195,              0.9697,             0.99369,             0.75296,            0.017404,           0.0061673,          0.00032032,            0.005842,            0.005842,            0.005842
                 128,            0.027749,           0.0067647,          0.00057807,             0.97705,             0.98485,             0.99361,             0.77436,            0.015334,           0.0057586,          0.00034223,            0.005809,            0.005809,            0.005809
                 129,            0.028624,           0.0074512,          0.00062107,             0.99411,             0.95455,             0.99203,             0.76247,            0.015851,           0.0059729,          0.00044991,            0.005776,            0.005776,            0.005776
                 130,            0.029066,           0.0067368,          0.00066172,             0.96235,             0.98372,             0.99412,             0.78899,            0.014404,           0.0052576,          0.00048887,            0.005743,            0.005743,            0.005743
                 131,            0.026467,           0.0069775,          0.00060667,             0.98682,             0.99584,               0.995,             0.77248,             0.01487,           0.0053844,          0.00049899,             0.00571,             0.00571,             0.00571
                 132,            0.027662,           0.0066009,          0.00049651,             0.98481,              0.9958,               0.995,             0.78573,            0.014543,           0.0053253,          0.00045139,            0.005677,            0.005677,            0.005677
                 133,            0.028119,           0.0071412,          0.00044742,             0.91991,             0.98973,             0.98957,             0.76476,            0.015013,           0.0059942,          0.00035049,            0.005644,            0.005644,            0.005644
                 134,            0.026081,           0.0068027,          0.00040084,             0.96292,                   1,             0.99324,             0.77745,            0.014998,           0.0053061,          0.00033917,            0.005611,            0.005611,            0.005611
                 135,            0.028811,           0.0065888,          0.00042894,             0.93869,                   1,             0.99397,             0.78128,              0.0154,           0.0051514,          0.00038689,            0.005578,            0.005578,            0.005578
                 136,            0.028414,           0.0067738,          0.00041662,             0.96558,                   1,             0.99107,             0.76163,            0.015559,           0.0053687,          0.00037754,            0.005545,            0.005545,            0.005545
                 137,             0.02797,           0.0065083,          0.00048429,             0.99145,             0.99155,               0.995,             0.77251,            0.014264,           0.0058866,          0.00038292,            0.005512,            0.005512,            0.005512
                 138,            0.027261,           0.0067689,           0.0041819,              0.9833,             0.98485,             0.99456,             0.78122,            0.014952,           0.0056707,          0.00040504,            0.005479,            0.005479,            0.005479
                 139,            0.028318,           0.0066331,          0.00044425,             0.95958,             0.99566,             0.99375,             0.75431,            0.015201,              0.0053,          0.00051025,            0.005446,            0.005446,            0.005446
                 140,            0.028075,            0.006939,          0.00050455,             0.93855,                   1,             0.99235,             0.75757,            0.014639,           0.0053978,          0.00042014,            0.005413,            0.005413,            0.005413
                 141,            0.027035,           0.0068853,          0.00053871,             0.96486,                   1,             0.99107,             0.75571,            0.016697,           0.0055974,          0.00040779,             0.00538,             0.00538,             0.00538
                 142,            0.025158,           0.0061926,          0.00044501,             0.96488,             0.99879,             0.98839,             0.73127,            0.016358,           0.0059565,           0.0003417,            0.005347,            0.005347,            0.005347
